Year,Per Day (Thousand Barrels)
1945,1587
1946,1979
1947,2119
1948,2280
1949,2410
1950,2616
1951,2985
1952,2954
1953,3110
1954,3194
1955,3463
1956,3548
1957,3615
1958,3711
1959,3860
1960,3969
1961,4043
1962,4199
1963,4334
1964,4403
1965,4593
1966,4808
1967,4958
1968,5261
1969,5526
1970,5785
1971,6014
1972,6376
1973,6674
1974,6537
1975,6675
1976,6978
1977,7177
1978,7412
1979,7034
1980,6579
1981,6588
1982,6539
1983,6622
1984,6693
1985,6831
1986,7034
1987,7206
1988,7336
1989,7328
1990,7235
1991,7188
1992,7268
1993,7476
1994,7601
1995,7789
1996,7891
1997,8017
1998,8253
1999,8431
2000,8472
2001,8610
2002,8848
2003,8935
2004,9105
2005,9159
2006,9253
2007,9286
2008,8989
2009,8997
2010,8993
2011,8753
2012,8682
2013,8843
2014,8921
