Year,Road Miles,Vehicle Miles (millions)
1900,2320000,100
1901,2325000,170
1902,2330000,310
1903,2340000,460
1904,2351000,750
1905,2360000,970
1906,2370000,1240
1907,2382000,1440
1908,2395000,1850
1909,2410000,2590
1910,2430000,3580
1911,2470000,5040
1912,2515000,7390
1913,2590000,10250
1914,2666000,14060
1915,2745000,19530
1916,2850000,25860
1917,2925000,30680
1918,3000000,36980
1919,3050000,44110
1920,3105000,47600
1921,3160000,55027
1922,3196000,67697
1923,3233000,84995
1924,3243000,104838
1925,3246000,122346
1926,3242000,140735
1927,3257000,158453
1928,3262000,172856
1929,3272000,197720
1930,3259000,206320
1931,3291000,216151
1932,3296000,200517
1933,3286000,200642
1934,3309000,215563
1935,3310000,228568
1936,3267000,252128
1937,3245000,270110
1938,3257000,271177
1939,3274000,285402
1940,3287000,302188
1941,3309678,333612
1942,3308497,268224
1943,3311138,208192
1944,3311177,212713
1945,3319286,250173
1946,3316538,340880
1947,3326153,370894
1948,3322660,397957
1949,3321742,424461
1950,3312975,458246
1951,3326510,491093
1952,3343170,513581
1953,3366190,544433
1954,3394561,561963
1955,3418214,605646
1956,3429801,627843
1957,3453118,645004
1958,3478787,664653
1959,3510660,700480
1960,3545693,718762
1961,3573046,737421
1962,3599581,766734
1963,3620457,805249
1964,3644069,846298
1965,3689666,887812
1966,3697950,925899
1967,3704914,964005
1968,3684085,1015869
1969,3710299,1061791
1970,3730082,1109724
1971,3758942,1178811
1972,3786713,1259786
1973,3806883,1313110
1974,3815807,1280544
1975,3838146,1327664
1976,3857356,1402380
1977,3867167,1467027
1978,3884761,1544704
1979,3917496,1529133
1980,3859837,1527295
1981,3852473,1555308
1982,3865894,1595010
1983,3879617,1652788
1984,3891464,1720269
1985,3863912,1774826
1986,3877941,1834872
1987,3873992,1921204
1988,3870744,2025962
1989,3876865,2096487
1990,3866926,2144362
1991,3883920,2172050
1992,3901081,2247151
1993,3905211,2296378
1994,3906595,2357588
1995,3912344,2422823
1996,3934264,2499779
1997,3960500,2568404
1998,3920968,2644672
1999,3932017,2707236
2000,3951101,2764484
2001,3963265,2813416
2002,3981671,2873612
2003,3990899,2908778
2004,3997456,2982017
2005,4011628,3009218
2006,4033011,3033753
2007,4048518,3049027
2008,4059352,2992705
2009,4067395.773,2975804
2010,4083767.858,2985094.506
2011,4094447,2964720
2012,4092730,2968815
2013,4115462,2988322.739
